StationName, StationID
0::"01003 - RIVOLI SAINT DENIS",1003
1::"01004 - MARGUERITE DE NAVARRE",1004
2::"01006 - GRANDE TRUANDERIE",1006
3::"01011 - RIVOLI MAIRIE DU 1ER",1011
4::"01016 - OPERA PYRAMIDES",1016
5::"01020 - RIVOLI CONCORDE",1020
6::"01022 - RUE DE LA PAIX",1022
7::"01023 - ANDRE MALRAUX MUSEE DU LOUVRE",1023
8::"02004 - REAUMUR MONTORGUEIL",2004
9::"02007 - CHABANAIS",2007
10::"02013 - RICHELIEU DROUOT",2013
11::"02015 - OPERA - CAPUCINES",2015
12::"02022 - BONNE NOUVELLE SAINT FIACRE",2022
13::"02101 - BACHAUMONT",2101
14::"04002 - MARCHE AUX FLEURS",4002
15::"04005 - SULLY MORLAND",4005
16::"04011 - PLACE DU BATAILLON FRANCAIS DE L\u0027ONU",4011
17::"04012 - ECOUFFES RIVOLI",4012
18::"04016 - LOBAU",4016
19::"04021 - BEAUBOURG RAMBUTEAU",4021
20::"04101 - BASTILLE",4101
21::"04103 - HOTEL DE VILLE",4103
22::"04105 - MORLAND",4105
23::"05003 - GAY LUSSAC LE GOFF",5003
24::"05005 - SAINT JACQUES GAY LUSSAC",5005
25::"05008 - ST GERMAIN-DANTE",5008
26::"05009 - SQUARE VIVIANI",5009
27::"05010 - SAINT MICHEL HENRI BARBUSSE",5010
28::"05013 - ULM ERASME",5013
29::"05014 - CALVIN",5014
30::"05015 - MOUFFETARD EPEE DE BOIS",5015
31::"05016 - CONTRESCARPE-THOUIN",5016
32::"05017 - DESCARTES",5017
33::"05018 - MUTUALITE",5018
34::"05021 - JUSSIEU",5021
35::"05022 - CARDINAL LEMOINE",5022
36::"05023 - PLACE JUSSIEU",5023
37::"05027 - GOBELINS",5027
38::"05029 - PORT ROYAL",5029
39::"05035 - BUFFON AUSTERLITZ",5035
40::"05104 - BUFFON",5104
41::"05105 - GEOFFROY SAINT HILAIRE",5105
42::"05106 - CUJAS",5106
43::"06006 - NOTRE DAME DES CHAMPS",6006
44::"06010 - MONTPARNASSE CHEVREUSE",6010
45::"06015 - MAZET SAINT ANDRE DES ARTS",6015
46::"06025 - RENNES - ASSAS",6025
47::"06108 - SAINT ROMAIN CHERCHE MIDI",6108
48::"07006 - QUAI VOLTAIRE",7006
49::"07025 - SUFFREN TOUR EIFFEL",7025
50::"07026 - 39 QUAI dORSAY",7026
51::"08003 - GALILLE",8003
52::"08005 - MADELEINE",8005
53::"08010 - LIEGE",8010
54::"08012 - CLICHY",8012
55::"08028 - HOUSSAYE",8028
56::"08036 - RIO",8036
57::"08037 - MALSHERBES MONCEAU",8037
58::"08048 - MARCEAU",8048
59::"08049 - DUNANT",8049
60::"08052 - WASHINGTON",8052
61::"08054 - HOCHE ALBRECHT",8054
62::"08056 - WAGRAM",8056
63::"08102 - LAMENAIS WASHINGTON",8102
64::"08103 - D\u0027ARTOIS BERRY",8103
65::"08104 - FRIEDLAND CHATEAUBRIAND",8104
66::"08549 - PLACE DUNANT",8549
67::"09001 - POISSONNIERE",9001
68::"09002 - MAUBEUGE CONDORCET",9002
69::"09005 - SQUARE D\u0027ANVERS",9005
70::"09006 - TRUDAINRE ROCHECHOUART",9006
71::"09018 - PLACE PIGALLE",9018
72::"09019 - VICTOR MASSE",9019
73::"09021 - SAINT GEORGES",9021
74::"09028 - MONCEY BLANCHE",9028
75::"09029 - TRINITE",9029
76::"09101 - CADET LA FAYETTE",9101
77::"09102 - PLACE D\u0027ESTIENNE D\u0027ORVES",9102
78::"10007 - CHATEAU D\u0027EAU",10007
79::"10016 - VILLEMIN",10016
80::"10023 - VERDUN",10023
81::"10024 - BUISSON SAINT LOUIS",10024
82::"10028 - GARE DU NORD DENAN",10028
83::"10033 - LARIBOISIERE",10033
84::"10035 - AUBERVILLIERS",10035
85::"10036 - AQUEDUC",10036
86::"10037 - VERSION 2 JAURES",10037
87::"10040 - BELLEVILLE",10040
88::"10161 - GARE DE L\u0027EST",10161
89::"11001 - BASTILLE RICHARD LENOIR",11001
90::"11010 - ST ANTOINE GONNET",11010
91::"11014 - NATION TRONE",11014
92::"11019 - CHARONNE PHILIPPE AUGUSTE",11019
93::"11021 - PHILIPPE AUGUSTE (20EME ARR.)",11021
94::"11022 - LEON BLUM ROQUETTE",11022
95::"11023 - LEO FROT ROQUETTE",11023
96::"11027 - SAINT AMBROISE PARMENTIER",11027
97::"11036 - JULES FERRY FAUBOURG DU TEMPLE",11036
98::"11109 - REPUBLIQUE PIERRE LEVEE",11109
99::"12008 - HECTOR MALOT",12008
100::"12010 - MICHEL BIZOT",12010
101::"12014 - NATION",12014
102::"12016 - PICPUS",12016
103::"12018 - SAINT MANDE - FAVRE",12018
104::"12020 - COURS DE VINCENNES - BD SOULT",12020
105::"12022 - BIZOT",12022
106::"12027 - MONTGALLET CHARENTON",12027
107::"12028 - VIVALDI",12028
108::"12029 - DUGOMMIER",12029
109::"12032 - PORTE DOREE",12032
