StationName, StationID
0::"00901 - ALLEE DU BELVEDERE",901
1::"01006 - GRANDE TRUANDERIE",1006
2::"01007 - ETIENNE MARCEL",1007
3::"01011 - RIVOLI MAIRIE DU 1ER",1011
4::"01016 - OPERA PYRAMIDES",1016
5::"01018 - RIVOLI TUILERIE",1018
6::"01020 - RIVOLI CONCORDE",1020
7::"01022 - RUE DE LA PAIX",1022
8::"01025 - TEMPLE DE L\u0027ORATOIRE",1025
9::"02007 - CHABANAIS",2007
10::"02012 - QUATRE SEPTEMBRE",2012
11::"02013 - RICHELIEU DROUOT",2013
12::"02015 - OPERA - CAPUCINES",2015
13::"02022 - BONNE NOUVELLE SAINT FIACRE",2022
14::"02101 - BACHAUMONT",2101
15::"03013 - RUE DE SEVIGNE",3013
16::"04002 - MARCHE AUX FLEURS",4002
17::"04009 - VILLAGE SAINT PAUL",4009
18::"04011 - PLACE DU BATAILLON FRANCAIS DE L\u0027ONU",4011
19::"04012 - ECOUFFES RIVOLI",4012
20::"04016 - LOBAU",4016
21::"04018 - RIVOLI SEBASTOPOL",4018
22::"04020 - BEAUBOURG PLACE MICHELET",4020
23::"04021 - BEAUBOURG RAMBUTEAU",4021
24::"04103 - HOTEL DE VILLE",4103
25::"04104 - SEBASTOPOL RAMBUTEAU",4104
26::"04105 - MORLAND",4105
27::"05003 - GAY LUSSAC LE GOFF",5003
28::"05005 - SAINT JACQUES GAY LUSSAC",5005
29::"05006 - SAINT JACQUES SOUFFLOT",5006
30::"05008 - ST GERMAIN-DANTE",5008
31::"05010 - SAINT MICHEL HENRI BARBUSSE",5010
32::"05013 - ULM ERASME",5013
33::"05014 - CALVIN",5014
34::"05015 - MOUFFETARD EPEE DE BOIS",5015
35::"05016 - CONTRESCARPE-THOUIN",5016
36::"05017 - DESCARTES",5017
37::"05020 - PONT DE SULLY RIVE GAUCHE",5020
38::"05021 - JUSSIEU",5021
39::"05022 - CARDINAL LEMOINE",5022
40::"05023 - PLACE JUSSIEU",5023
41::"05024 - PLACE MONGE",5024
42::"05029 - PORT ROYAL",5029
43::"05032 - PANTHEON CARMES",5032
44::"05035 - BUFFON AUSTERLITZ",5035
45::"05104 - BUFFON",5104
46::"05106 - CUJAS",5106
47::"06006 - NOTRE DAME DES CHAMPS",6006
48::"06010 - MONTPARNASSE CHEVREUSE",6010
49::"06015 - MAZET SAINT ANDRE DES ARTS",6015
50::"06025 - RENNES - ASSAS",6025
51::"06031 - SAINT MICHEL SARRAZIN",6031
52::"06108 - SAINT ROMAIN CHERCHE MIDI",6108
53::"07025 - SUFFREN TOUR EIFFEL",7025
54::"07026 - 39 QUAI dORSAY",7026
55::"08003 - GALILLE",8003
56::"08005 - MADELEINE",8005
57::"08010 - LIEGE",8010
58::"08012 - CLICHY",8012
59::"08019 - EUROPE",8019
60::"08020 - METRO ROME",8020
61::"08025 - MIROMESNIL",8025
62::"08028 - HOUSSAYE",8028
63::"08035 - NARVICK",8035
64::"08036 - RIO",8036
65::"08037 - MALSHERBES MONCEAU",8037
66::"08048 - MARCEAU",8048
67::"08049 - DUNANT",8049
68::"08052 - WASHINGTON",8052
69::"08053 - FRIEDLAND",8053
70::"08054 - HOCHE ALBRECHT",8054
71::"08055 - TERNES COURCELLES",8055
72::"08056 - WAGRAM",8056
73::"08102 - LAMENAIS WASHINGTON",8102
74::"08103 - D\u0027ARTOIS BERRY",8103
75::"08104 - FRIEDLAND CHATEAUBRIAND",8104
76::"08549 - PLACE DUNANT",8549
77::"09001 - POISSONNIERE",9001
78::"09002 - MAUBEUGE CONDORCET",9002
79::"09005 - SQUARE D\u0027ANVERS",9005
80::"09006 - TRUDAINRE ROCHECHOUART",9006
81::"09007 - CONDORCET",9007
82::"09009 - SQUARE MONTHOLON",9009
83::"09018 - PLACE PIGALLE",9018
