Time, CriticalStations
10-31-2013 00:00,202
10-31-2013 00:10,206
10-31-2013 00:20,214
10-31-2013 00:30,212
10-31-2013 00:40,216
10-31-2013 00:50,211
10-31-2013 01:00,207
10-31-2013 01:10,204
10-31-2013 01:20,201
10-31-2013 01:30,205
10-31-2013 01:40,203
10-31-2013 01:50,200
10-31-2013 02:00,201
10-31-2013 02:10,203
10-31-2013 02:20,197
10-31-2013 02:30,195
10-31-2013 02:40,198
10-31-2013 02:50,195
10-31-2013 03:00,195
10-31-2013 03:10,201
10-31-2013 03:20,199
10-31-2013 03:30,199
10-31-2013 03:40,197
10-31-2013 03:50,194
10-31-2013 04:00,188
10-31-2013 04:10,189
10-31-2013 04:20,191
10-31-2013 04:30,189
10-31-2013 04:40,189
10-31-2013 04:50,190
10-31-2013 05:00,189
10-31-2013 05:10,187
10-31-2013 05:20,185
10-31-2013 05:30,177
10-31-2013 05:40,176
10-31-2013 05:50,173
10-31-2013 06:00,171
10-31-2013 06:10,170
10-31-2013 06:20,173
10-31-2013 06:30,176
10-31-2013 06:40,178
10-31-2013 06:50,184
10-31-2013 07:00,182
10-31-2013 07:10,185
10-31-2013 07:20,209
10-31-2013 07:30,222
10-31-2013 07:40,254
10-31-2013 07:50,268
10-31-2013 08:00,272
10-31-2013 08:10,298
10-31-2013 08:20,312
10-31-2013 08:30,299
10-31-2013 08:40,295
10-31-2013 08:50,335
10-31-2013 09:00,304
10-31-2013 09:10,305
10-31-2013 09:20,322
10-31-2013 09:30,311
10-31-2013 09:40,320
10-31-2013 09:50,326
10-31-2013 10:00,340
10-31-2013 10:10,326
10-31-2013 10:20,328
10-31-2013 10:30,320
10-31-2013 10:40,333
10-31-2013 10:50,335
10-31-2013 11:00,330
10-31-2013 11:10,313
10-31-2013 11:20,300
10-31-2013 11:30,301
10-31-2013 11:40,277
10-31-2013 11:50,274
10-31-2013 12:00,334
10-31-2013 12:10,334
10-31-2013 12:20,334
10-31-2013 12:30,334
10-31-2013 12:40,334
10-31-2013 12:50,334
10-31-2013 13:00,335
10-31-2013 13:10,335
10-31-2013 13:20,328
10-31-2013 13:30,337
10-31-2013 13:40,341
10-31-2013 13:50,362
10-31-2013 14:00,331
10-31-2013 14:10,340
10-31-2013 14:20,330
10-31-2013 14:30,340
10-31-2013 14:40,316
10-31-2013 14:50,308
10-31-2013 15:00,325
10-31-2013 15:10,324
10-31-2013 15:20,327
10-31-2013 15:30,320
10-31-2013 15:40,319
10-31-2013 15:50,319
10-31-2013 16:00,304
10-31-2013 16:10,303
10-31-2013 16:20,296
10-31-2013 16:30,271
10-31-2013 16:40,292
10-31-2013 16:50,295
10-31-2013 17:00,287
10-31-2013 17:10,290
10-31-2013 17:20,276
10-31-2013 17:30,272
10-31-2013 17:40,280
10-31-2013 17:50,264
10-31-2013 18:00,265
10-31-2013 18:10,268
10-31-2013 18:20,282
10-31-2013 18:30,264
10-31-2013 18:40,268
10-31-2013 18:50,266
10-31-2013 19:00,257
10-31-2013 19:10,261
10-31-2013 19:20,268
10-31-2013 19:30,264
10-31-2013 19:40,253
10-31-2013 19:50,263
10-31-2013 20:00,261
10-31-2013 20:10,261
10-31-2013 20:20,273
10-31-2013 20:30,277
10-31-2013 20:40,286
10-31-2013 20:50,286
10-31-2013 21:00,288
10-31-2013 21:10,273
10-31-2013 21:20,279
10-31-2013 21:30,277
10-31-2013 21:40,263
10-31-2013 21:50,274
10-31-2013 22:00,282
10-31-2013 22:10,279
10-31-2013 22:20,278
10-31-2013 22:30,272
10-31-2013 22:40,278
10-31-2013 22:50,285
10-31-2013 23:00,288
10-31-2013 23:10,286
10-31-2013 23:20,273
10-31-2013 23:30,278
10-31-2013 23:40,288
10-31-2013 23:50,289
